pdb_id,pH,temp
1ES4,7.2,293.0
1ES5,7.2,293.0
1ES7,7.0,296.0
1ES8,6.0,277.0
1ES9,6.8,293.0
1ESI,7.2,293.0
1ESJ,7.6,291.0
1ESM,6.5,291.0
1ESN,7.5,277.0
1ESQ,7.6,291.0
1ESR,7.5,292.0
1ESU,7.0,292.0
1ESV,6.6,298.0
1ET0,6.5,293.0
1ET6,5.7,291.0
1ET9,5.1,291.0
1ETE,6.4,298.0
1ETK,6.5,298.0
1ETO,7.5,298.0
1ETQ,7.5,298.0
1ETV,7.5,298.0
1ETW,6.5,298.0
1ETX,6.5,298.0
1ETY,6.5,298.0
1ETZ,7.0,290.0
1EU1,7.0,295.0
1EU3,5.7,291.0
1EU4,5.1,291.0
1EU5,5.5,277.0
1EUE,6.8,277.0
1EUF,6.7,277.0
1EUM,5.2,293.0
1EUO,7.7,298.0
1EUQ,7.0,298.0
1EUV,6.5,294.0
1EUW,5.5,277.0
1EUY,7.0,298.0
1EUZ,5.0,293.0
1EV2,7.5,298.0
1EV4,6.5,298.0
1EV5,7.8,291.0
1EV6,6.5,298.0
1EV7,6.1,277.0
1EVF,7.8,291.0
1EVG,7.8,291.0
1EVI,6.3,293.0
1EVJ,5.5,298.0
1EVK,6.5,277.0
1EVL,6.5,277.0
1EVQ,7.8,295.0
1EVR,6.7,298.0
1EVS,7.5,295.0
1EVT,7.5,298.0
1EVU,6.2,294.0
1EVW,6.5,277.0
1EVX,6.5,277.0
1EVY,7.25,298.0
1EVZ,7.25,298.0
1EW2,6.0,293.0
1EW4,5.12,296.0
1EW6,7.0,298.0
1EWA,7.0,298.0
1EWD,7.4,293.0
1EWE,7.4,293.0
1EWF,6.8,289.0
1EWH,6.5,293.0
1EWJ,5.0,298.0
1EWK,7.5,293.0
1EWL,6.25,292.0
1EWM,6.5,292.0
1EWO,7.0,292.0
1EWP,5.5,292.0
1EWQ,6.2,293.0
1EWR,7.2,293.0
1EWV,7.5,293.0
1EWY,5.5,277.0
1EX0,6.0,295.0
1EX3,5.0,298.0
1EX4,5.6,298.0
1EX5,7.4,293.0
1EX7,5.5,292.0
1EX8,5.5,292.0
1EX9,5.6,285.0
1EXA,7.0,290.0
1EXD,7.0,293.0
1EXM,7.0,293.0
1EXQ,5.6,293.0
1EXR,5.0,278.0
1EXV,6.0,290.0
1EXW,6.5,293.0
1EXX,7.0,290.0
1EY0,7.0,277.0
1EY3,7.3,298.0
1EY4,7.0,277.0
1EY5,7.0,277.0
1EY6,7.0,277.0
1EY7,7.0,277.0
1EY8,7.0,277.0
1EY9,8.0,277.0
1EYA,8.0,277.0
1EYC,8.0,277.0
1EYD,7.0,277.0
1EYE,5.8,298.0
1EYG,7.5,291.0
1EYL,5.4,277.0
1EYM,6.5,277.0
1EYN,6.5,292.0
1EYS,7.0,277.0
1EYV,7.5,295.0
1EYX,7.0,293.0
